Title,Year
#83. The Shawshank Redemption,1994
#76. Beauty and the Beast,1991
#51. Goodfellas,1990
#50. Saving Private Ryan,1998
#43. Toy Story,1995
#21. Three Colors: Red,1994
#9. Pulp Fiction,1994
#6. Schindler's List,1993
